customer_id,date,amount
C0692,2025-07-17,96.47
C0054,2025-05-09,46.93
C0053,2025-03-29,22.16
C0005,2025-05-11,14.46
C0877,2026-01-13,48.9
C0823,2025-12-02,17.12
C0370,2025-06-01,72.69
C0659,2025-06-22,35.44
C0787,2025-04-30,78.14
C0346,2025-09-14,20.19
C0830,2025-11-03,37.96
C0908,2025-06-06,19.52
C0513,2025-09-24,24.4
C0638,2025-05-26,72.69
C0488,2025-09-22,26.42
C0272,2025-08-05,76.95
C0447,2025-04-07,57.3
C0247,2025-04-14,51.74
C0435,2025-04-24,10.72
C0974,2025-09-05,12.35
C0094,2025-09-23,204.39
C0453,2025-08-20,10.87
C0474,2026-01-04,42.07
C0289,2025-10-09,38.44
C0023,2025-10-05,57.84
C0837,2025-05-08,12.32
C0223,2025-10-05,145.48
C0608,2025-10-12,48.76
C0516,2025-02-13,13.66
C0759,2025-10-13,11.34
C0896,2025-07-07,150.86
C0664,2025-07-25,52.59
C0545,2025-07-26,95.92
C0268,2025-12-17,95.86
C0168,2025-12-24,21.58
C0285,2025-02-09,15.31
C0898,2025-10-08,14.96
C0035,2025-08-31,13.69
C0776,2025-05-01,103.18
C0602,2025-05-23,26.55
C0196,2025-12-08,69.66
C0493,2025-04-13,114.97
C0420,2025-09-02,91.35
C0761,2025-07-11,19.77
C0457,2025-08-08,52.89
C0099,2025-03-05,33.26
C0999,2025-05-04,30.84
C0190,2025-09-09,107.74
C0369,2025-07-30,79.49
C0217,2026-01-18,15.44
C0273,2025-03-31,44.31
C0729,2026-01-05,27.67
C0019,2025-07-24,12.75
C0445,2025-09-18,103.91
C0265,2025-11-08,159.85
C0384,2025-03-21,52.6
C0367,2025-06-21,39.75
C0099,2025-02-22,50.34
C0469,2025-03-22,88.41
C0569,2025-03-08,14.78
C0042,2025-08-02,12.96
C0223,2025-05-30,39.13
C0215,2025-09-06,31.61
C0658,2025-09-24,17.72
C0074,2025-10-08,101.16
C0174,2025-06-18,22.59
C0393,2025-11-07,71.25
C0517,2025-02-26,14.43
C0339,2025-06-13,33.44
C0833,2026-01-05,93.78
C0511,2025-12-21,223.44
C0132,2025-11-16,33.6
C0415,2025-10-30,85.06
C0182,2025-07-14,37.6
C0858,2025-02-16,15.89
C0451,2025-07-20,10.57
C0220,2025-06-03,12.9
C0476,2025-12-11,96.52
C0935,2025-01-29,67.13
C0348,2025-08-06,35.56
C0508,2025-12-06,47.58
C0117,2025-06-11,91.0
C0685,2025-07-07,50.6
C0815,2025-06-26,12.22
C0213,2025-08-19,135.74
C0676,2025-09-12,69.44
C0441,2025-03-16,59.63
C0526,2025-06-20,40.31
C0373,2025-03-23,53.89
C0656,2025-02-09,169.35
C0784,2026-01-21,40.41
C0668,2025-02-05,19.3
C0676,2025-04-28,34.57
C0316,2025-07-25,25.46
C0869,2025-03-10,25.05
C0923,2025-06-22,26.41
C0724,2025-09-05,25.8
C0909,2025-03-15,13.96
C0390,2025-04-20,36.95
C0709,2025-11-27,135.77
C0010,2025-12-06,114.64
C0251,2026-01-28,19.01
C0801,2025-04-03,42.73
C0239,2025-07-24,33.64
C0282,2025-04-01,34.96
C0827,2025-11-07,52.09
C0929,2025-05-06,11.88
C0511,2025-12-05,110.02
C0977,2025-08-13,418.62
C0870,2025-10-14,50.53
C0997,2025-03-22,154.81
C0458,2025-04-21,24.21
C0078,2025-01-29,164.01
C0717,2025-10-15,22.98
C0881,2025-11-12,12.4
C0095,2025-04-10,11.12
C0250,2025-07-09,42.33
C0771,2025-11-30,105.59
C0054,2025-09-21,51.16
C0734,2025-10-06,35.83
C0624,2025-10-10,11.46
C0207,2025-09-14,58.42
C0578,2025-04-13,21.97
C0422,2025-08-08,10.73
C0806,2025-11-30,54.57
C0798,2025-12-29,38.77
C0447,2025-12-02,49.64
C0481,2025-12-29,35.25
C0759,2025-05-14,109.16
C0133,2025-11-09,17.95
C0184,2025-12-24,83.25
C0852,2025-04-07,205.68
C0053,2025-08-21,21.73
C0043,2025-09-25,30.89
C0111,2025-10-04,40.82
C0848,2025-05-03,35.57
C0912,2025-02-05,19.93
C0900,2025-07-31,36.52
C0864,2025-08-11,46.2
C0672,2025-03-30,20.68
C0403,2025-11-01,19.25
C0604,2025-07-17,19.74
C0405,2025-12-20,16.43
C0233,2025-02-09,21.55
C0546,2025-04-16,30.03
C0923,2025-04-11,14.84
C0047,2025-05-29,68.2
C0056,2026-01-13,18.54
C0048,2025-03-30,10.13
C0804,2025-10-12,14.42
C0867,2025-10-08,224.36
C0303,2025-06-04,138.88
C0526,2025-02-25,33.02
C0216,2026-01-28,13.22
C0699,2025-12-06,17.14
C0003,2025-05-19,103.04
C0363,2025-09-24,11.55
C0274,2025-11-18,48.03
C0015,2025-08-08,25.68
C0485,2025-02-25,11.01
C0953,2025-10-28,21.88
C0474,2025-06-03,16.38
C0145,2025-02-10,55.02
C0580,2025-04-05,62.32
C0146,2025-05-19,53.88
C0470,2025-03-03,50.79
C0936,2025-09-21,16.82
C0425,2025-05-09,32.56
C0282,2025-12-14,52.29
C0952,2025-12-09,225.31
C0741,2025-11-13,10.38
C0277,2025-08-14,32.73
C0624,2025-02-01,105.13
C0446,2025-12-12,91.96
C0664,2025-12-05,102.36
C0899,2025-09-28,10.92
C0229,2025-03-05,304.91
C0006,2025-12-16,52.9
C0075,2025-02-01,10.27
C0118,2025-05-02,19.37
C0947,2025-03-31,142.52
C0847,2025-08-19,52.39
C0435,2025-07-20,83.37
C0326,2025-05-26,72.06
C0724,2025-09-10,76.64
C0140,2025-03-16,71.42
C0654,2025-12-14,14.57
C0894,2025-06-16,144.42
C0845,2025-10-14,12.66
C0690,2025-02-07,49.77
C0650,2025-07-19,21.27
C0168,2025-06-07,14.6
C0319,2025-05-09,10.14
C0777,2025-03-07,36.54
C0606,2025-05-03,142.63
C0318,2025-09-21,36.26
C0885,2025-06-14,21.47
C0995,2025-03-04,140.49
C0320,2025-03-29,102.2
C0840,2025-10-22,89.3
C0270,2025-12-10,18.94
C0725,2025-07-12,94.26
C0379,2025-04-16,47.02
C0132,2025-04-27,114.86
C0089,2025-11-20,40.07
C0616,2025-02-11,124.96
C0637,2026-01-16,78.84
C0143,2025-06-30,31.95
C0503,2025-12-03,128.47
C0947,2025-03-08,16.22
C0646,2025-04-05,59.4
C0968,2025-03-11,17.5
C0015,2025-05-19,58.39
C0478,2025-09-16,52.57
C0157,2025-03-07,79.8
C0997,2025-11-13,11.71
C0598,2025-12-16,81.87
C0635,2025-12-24,30.93
C0806,2025-07-06,33.81
C0877,2025-09-01,56.31
C0015,2025-07-04,48.81
C0157,2025-03-16,36.29
C0685,2025-06-07,10.61
C0627,2025-09-28,51.68
C0794,2025-11-23,55.69
C0660,2025-02-08,169.8
C0872,2025-03-07,22.9
C0023,2025-11-27,26.98
C0363,2025-09-03,54.12
C0958,2025-08-26,57.27
C0623,2025-05-12,112.83
C0460,2026-01-19,135.51
C0133,2025-11-17,71.42
C0106,2025-04-30,33.46
C0905,2025-03-20,76.67
C0296,2025-11-21,139.89
C0407,2025-10-12,16.01
C0405,2026-01-09,101.29
C0182,2025-12-07,30.18
C0950,2025-03-24,22.9
C0911,2025-06-26,33.85
C0309,2025-06-14,21.51
C0313,2025-05-25,56.28
C0803,2025-04-01,36.76
C0602,2025-04-13,138.17
C0903,2025-08-26,42.78
C0347,2025-02-14,54.22
C0955,2026-01-27,131.95
C0182,2025-06-29,53.09
C0180,2025-08-14,11.72
C0161,2025-07-24,85.82
C0662,2025-07-01,10.66
C0469,2025-03-18,19.8
C0084,2026-01-24,18.05
C0630,2026-01-05,14.46
C0701,2026-01-23,44.88
C0769,2025-09-09,13.47
C0215,2025-08-27,31.49
C0670,2025-11-09,59.04
C0477,2025-11-10,100.57
C0019,2025-02-15,27.41
C0371,2025-07-22,47.5
C0502,2025-05-21,35.6
C0678,2025-12-13,15.43
C0264,2025-03-24,156.05
C0800,2025-10-21,25.79
C0878,2025-07-09,36.27
C0087,2025-03-24,18.49
C0178,2026-01-12,36.21
C0313,2025-10-02,24.64
C0983,2025-10-10,11.0
C0054,2025-10-04,90.45
C0579,2025-03-20,62.88
C0264,2025-11-15,23.93
C0078,2025-11-12,106.79
C0491,2025-07-12,17.6
C0910,2025-09-08,29.58
C0978,2025-02-04,60.15
C0673,2025-06-28,104.24
C0624,2025-03-05,61.49
C0082,2025-01-30,130.75
C0709,2025-02-08,25.02
C0386,2025-08-11,54.62
C0396,2025-02-17,58.93
C0934,2025-10-11,50.15
C0226,2025-03-22,27.44
C0500,2026-01-05,85.65
C0593,2025-08-18,51.71
C0059,2025-08-31,90.44
C0721,2025-05-23,45.92
C0521,2025-03-09,70.01
C0281,2026-01-22,22.3
C0278,2025-09-20,37.38
C0666,2025-02-26,19.42
C0727,2025-11-17,10.93
C0146,2025-06-05,16.26
C0356,2025-03-10,26.01
C0017,2025-07-12,62.69
C0378,2025-04-14,21.56
C0874,2026-01-05,17.36
C0825,2025-11-11,113.53
C0168,2025-05-06,55.88
C0821,2025-07-20,101.04
C0981,2025-08-06,46.59
C0576,2025-06-07,19.09
C0363,2025-08-09,14.32
C0292,2025-11-06,13.53
C0779,2025-11-20,38.74
C0676,2025-05-21,73.92
C0744,2025-09-12,159.1
C0055,2025-05-19,164.05
C0406,2025-04-07,43.06
C0762,2025-03-05,48.81
C0467,2025-09-12,102.11
C0849,2026-01-28,18.4
C0201,2025-07-01,42.15
C0073,2025-08-17,31.66
C0641,2025-09-02,71.03
C0616,2025-03-11,40.78
C0803,2025-06-08,14.05
C0108,2025-07-19,181.63
C0102,2026-01-17,15.44
C0613,2025-03-13,92.36
C0817,2025-02-14,160.02
C0823,2025-11-27,14.53
C0592,2025-09-01,81.02
C0991,2025-06-26,81.16
C0485,2025-08-14,207.06
C0466,2025-04-27,62.02
C0571,2026-01-28,65.42
C0288,2025-10-21,54.37
C0401,2025-11-06,51.96
C0250,2025-10-25,16.42
C0519,2025-06-14,20.7
C0840,2025-12-09,154.36
C0594,2025-09-08,109.04
C0935,2025-05-11,11.89
C0159,2025-06-29,23.07
C0188,2025-11-25,14.0
C0805,2025-07-18,30.77
C0183,2026-01-27,52.48
C0888,2025-02-01,88.2
C0921,2025-08-26,46.72
C0493,2025-05-16,23.26
C0311,2025-09-12,112.05
C0414,2025-10-06,113.85
C0141,2025-10-29,149.9
C0739,2025-03-08,10.48
C0029,2025-12-12,42.68
C0697,2025-10-27,113.45
C0239,2025-10-21,14.81
C0359,2026-01-03,76.89
C0990,2025-07-24,15.85
C0142,2025-07-05,105.81
C0146,2025-11-17,12.15
C0705,2025-04-11,15.8
C0889,2026-01-07,16.64
C0187,2025-11-17,87.17
C0939,2025-08-14,211.8
C0319,2025-11-26,55.91
C0062,2025-12-27,236.34
C0711,2025-03-21,13.36
C0584,2025-06-25,100.95
C0310,2025-09-28,45.94
C0330,2025-05-15,19.71
C0218,2025-09-26,167.64
C0888,2025-10-17,90.66
C0054,2025-03-16,22.19
C0521,2025-05-07,55.47
C0753,2025-03-30,25.07
C0419,2025-07-25,43.78
C0145,2025-09-01,123.86
C0739,2025-10-24,22.67
C0089,2025-12-23,122.65
C0357,2025-05-06,40.57
C0952,2025-12-17,25.94
C0541,2025-06-14,12.27
C0738,2025-12-26,11.8
C0463,2025-03-09,144.11
C0395,2025-09-11,36.25
C0975,2025-03-07,25.04
C0901,2025-07-23,44.25
C0454,2025-03-06,22.43
C0973,2025-11-08,13.96
C0593,2025-05-22,44.17
C0224,2025-12-12,54.87
C0698,2025-12-17,31.37
C0866,2025-03-09,51.7
C0749,2025-11-13,115.45
C0147,2025-12-30,63.71
C0353,2025-03-28,110.98
C0681,2025-10-24,100.7
C0345,2025-07-28,66.99
C0191,2025-07-02,79.86
C0007,2025-06-10,116.38
C0826,2025-10-04,11.48
C0535,2025-07-07,30.41
C0670,2025-03-08,18.76
C0356,2025-10-13,99.23
C0989,2025-02-09,10.32
C0224,2025-02-10,57.98
C0113,2025-09-18,59.96
C0223,2026-01-17,60.26
C0856,2026-01-28,85.67
C0326,2025-04-12,38.3
C0994,2025-12-13,34.89
C0335,2025-09-07,80.06
C0278,2025-08-12,19.54
C0484,2025-09-27,157.15
C0192,2025-02-14,83.7
C0401,2025-08-09,12.98
C0120,2025-08-26,112.61
C0704,2025-07-22,183.49
C0676,2025-10-06,16.97
C0381,2025-02-04,13.39
C0033,2025-06-11,33.25
C0928,2025-03-27,10.05
C0482,2025-09-11,302.58
C0977,2025-05-07,40.02
C0039,2025-10-26,89.19
C0157,2025-04-13,22.47
C0130,2025-07-22,67.05
C0022,2025-02-24,111.27
C0382,2025-09-21,11.59
C0989,2025-02-18,130.13
C0869,2025-04-22,35.34
C0953,2025-10-12,29.34
C0934,2025-02-12,78.49
C0163,2025-12-14,111.29
C0792,2025-02-09,51.36
C0492,2025-08-24,49.18
C0060,2025-06-22,14.78
C0520,2025-04-17,40.23
C0562,2025-08-15,59.2
C0960,2025-07-28,131.43
C0378,2025-03-15,41.0
C0734,2025-08-22,55.61
C0894,2025-09-21,24.22
C0521,2025-07-13,22.78
C0956,2025-12-13,62.71
C0501,2025-05-25,54.61
C0584,2025-04-02,40.37
C0072,2025-11-01,13.76
C0320,2026-01-01,42.69
C0607,2025-07-13,27.24
C0301,2025-09-02,108.35
C0102,2025-10-22,42.75
C0088,2025-03-10,23.86
C0889,2025-03-15,17.69
C0592,2025-12-04,58.14
C0660,2025-07-08,51.01
C0928,2025-09-27,29.76
C0002,2025-09-10,14.6
C0973,2025-04-15,14.09
C0918,2025-05-11,17.12
C0871,2025-04-28,68.47
C0143,2025-05-14,19.17
C0305,2026-01-23,60.59
C0963,2025-05-31,11.6
C0774,2025-04-11,12.67
C0416,2025-03-10,71.73
C0264,2025-12-22,72.6
C0318,2025-04-22,30.73
C0251,2025-02-04,64.06
C0208,2025-12-08,86.59
C0895,2025-01-31,12.08
C0700,2026-01-25,38.87
C0978,2025-02-09,24.19
C0909,2025-02-22,112.7
C0122,2025-06-24,196.21
C0356,2025-07-20,20.05
C0631,2025-12-03,63.75
C0307,2025-11-24,50.52
C0914,2025-08-27,22.97
C0352,2025-12-06,194.03
C0643,2025-08-18,35.81
C0445,2025-05-01,37.1
C0207,2026-01-16,101.77
C0817,2026-01-13,171.93
C0954,2025-02-21,37.71
C0516,2025-09-05,33.18
C0532,2025-06-29,49.19
C0947,2025-05-04,54.34
C0250,2025-05-25,35.17
C0740,2025-04-04,55.53
C0932,2025-10-17,63.21
C0755,2025-08-02,131.73
C0268,2025-06-08,58.77
C0552,2025-02-18,76.05
C0867,2025-11-06,72.91
C0752,2025-04-25,60.06
C0526,2025-12-28,45.94
C0293,2025-12-19,13.58
C0553,2025-12-12,15.12
C0381,2025-05-19,54.94
C0231,2025-04-22,54.94
C0838,2025-06-22,34.8
C0028,2025-04-04,107.59
C0261,2025-07-11,185.03
C0303,2025-11-11,23.46
C0707,2025-05-26,19.3
C0970,2025-05-01,30.55
C0862,2026-01-24,38.18
C0276,2025-10-19,58.0
C0513,2025-12-07,19.14
C0980,2025-11-08,11.87
C0933,2025-07-22,64.5
C0165,2025-11-29,102.95
C0556,2025-12-06,54.02
C0719,2025-05-16,48.82
C0916,2025-12-28,12.94
C0511,2025-11-17,147.92
C0797,2025-01-29,16.51
C0198,2025-09-30,14.64
C0161,2025-07-26,12.12
C0490,2025-10-31,225.74
C0216,2025-10-06,10.25
C0994,2025-09-02,60.96
C0185,2025-03-08,40.32
C0495,2025-07-25,30.98
C0294,2026-01-03,16.72
C0638,2025-11-25,17.75
C0946,2025-09-19,76.01
C0008,2026-01-04,14.93
C0776,2025-07-04,39.33
C0517,2025-04-24,24.74
C0193,2025-12-05,202.29
C0427,2025-05-22,24.0
C0538,2025-06-13,109.98
C0881,2025-04-14,16.0
C0345,2025-11-26,135.47
C0001,2025-06-24,151.41
C0654,2025-03-22,64.98
C0361,2025-04-28,31.43
C0962,2025-08-08,12.47
C0585,2025-07-08,36.12
C0688,2025-10-24,86.25
C0589,2025-07-06,77.06
C0324,2025-05-06,35.89
C0494,2025-06-09,65.07
C0454,2025-04-20,115.14
C0279,2026-01-02,111.59
C0641,2026-01-07,27.61
C0455,2025-04-27,29.9
C0065,2025-04-14,57.06
C0143,2025-12-10,49.76
C0417,2025-11-29,49.45
C0291,2025-05-10,13.8
C0867,2025-05-18,61.44
C0962,2025-10-20,33.88
C0794,2025-12-22,46.6
C0454,2025-05-25,94.04
C0665,2025-02-09,18.07
C0304,2025-11-17,24.12
C0740,2025-10-26,35.07
C0343,2025-12-20,78.69
C0364,2025-02-18,20.89
C0336,2025-11-27,13.7
C0399,2025-11-05,63.17
C0051,2025-10-26,20.98
C0141,2025-10-30,15.35
C0893,2025-03-21,65.45
C0669,2025-09-24,47.99
C0648,2025-06-21,14.7
C0670,2025-06-23,35.53
C0589,2025-06-09,96.63
C0350,2025-10-18,67.15
C0586,2025-03-08,47.24
C0583,2025-12-06,88.85
C0445,2025-11-22,134.9
C0084,2025-10-18,94.57
C0172,2025-07-20,60.14
C0891,2025-06-18,56.02
C0118,2025-11-01,117.8
C0905,2025-02-23,21.92
C0010,2025-05-29,101.59
C0584,2025-06-29,31.8
C0154,2026-01-10,85.83
C0050,2025-06-29,96.47
C0060,2025-07-14,65.06
C0146,2025-07-11,18.11
C0439,2025-09-27,18.3
C0561,2025-05-16,109.31
C0631,2025-06-26,15.03
C0432,2025-11-17,61.36
C0988,2025-07-07,60.8
C0969,2025-04-16,59.99
C0441,2025-10-09,17.64
C0320,2025-11-15,55.45
C0658,2025-12-17,39.23
C0637,2025-07-14,74.46
C0459,2025-11-04,16.87
C0531,2025-04-06,74.43
C0554,2025-11-12,26.02
C0036,2025-09-17,61.82
C0676,2025-04-11,29.53
C0891,2025-04-08,31.92
C0708,2025-10-24,46.6
C0642,2025-02-02,13.62
C0160,2025-06-26,25.81
C0712,2025-03-19,66.99
C0812,2025-03-27,30.25
C0838,2025-06-07,266.97
C0770,2025-05-10,50.8
C0354,2025-11-10,30.29
C0662,2025-11-24,14.65
C0453,2025-12-27,60.39
C0303,2025-12-05,48.37
C0446,2025-07-05,39.93
C0912,2025-02-09,31.35
C0908,2025-06-13,89.35
C0656,2025-02-27,23.37
C0348,2025-05-23,18.27
C0517,2026-01-23,83.18
C0321,2025-05-29,65.67
C0084,2025-09-16,110.01
C0784,2025-03-07,18.68
C0509,2025-06-19,16.26
C0663,2025-05-22,30.9
C0361,2026-01-04,31.26
C0761,2025-12-25,97.23
C0702,2025-07-01,55.89
C0311,2025-10-17,135.91
C0939,2025-06-20,252.41
C0101,2025-09-29,21.69
C0239,2025-03-18,16.19
C0594,2025-11-15,66.09
C0670,2025-06-11,17.62
C0007,2025-02-11,14.22
C0405,2025-07-10,19.53
C0130,2025-08-22,195.68
C0768,2025-10-21,96.43
C0793,2025-10-08,109.03
C0164,2025-05-03,43.38
C0110,2025-12-30,82.37
C0381,2025-02-22,64.88
C0482,2025-02-22,23.23
C0173,2025-02-09,178.81
C0608,2025-04-30,28.68
C0846,2025-02-17,38.95
C0828,2025-07-07,22.17
C0254,2025-06-07,62.52
C0467,2025-11-11,13.17
C0467,2025-10-21,21.9
C0382,2025-10-22,80.17
C0927,2025-03-25,27.65
C0983,2025-04-21,19.36
C0149,2025-12-23,86.32
C0494,2025-10-18,68.91
C0764,2025-05-05,45.61
C0615,2025-03-09,94.09
C0359,2025-12-02,19.54
C0420,2025-06-01,104.2
C0690,2025-04-01,88.53
C0703,2025-03-31,63.08
C0483,2025-02-04,47.28
C0982,2025-02-11,19.73
C0598,2025-06-10,10.55
C0386,2025-03-31,42.83
C0246,2025-09-15,25.04
C0650,2025-12-08,20.52
C0901,2025-04-03,29.54
C0986,2025-09-27,59.62
C0693,2026-01-01,13.34
C0672,2025-07-11,33.21
C0497,2025-08-04,61.94
C0917,2025-12-02,25.46
C0629,2025-11-06,16.8
C0546,2025-03-21,23.95
C0594,2025-09-17,93.22
C0733,2025-03-11,86.86
C0397,2025-05-21,165.43
C0017,2025-05-28,28.95
C0129,2025-06-07,38.78
C0029,2025-05-05,101.9
C0826,2025-09-17,40.95
C0715,2025-10-02,63.85
C0955,2025-08-30,60.62
C0079,2026-01-06,46.53
C0467,2025-04-07,76.86
C0449,2025-04-25,67.01
C0845,2025-08-16,14.43
C0043,2025-05-17,91.01
C0483,2025-06-29,11.81
C0148,2025-11-01,34.52
C0927,2025-09-13,31.52
C0399,2025-08-27,64.14
C0540,2025-03-20,19.56
C0261,2025-10-16,63.99
C0352,2025-02-05,25.4
C0550,2025-05-19,14.29
C0220,2025-12-31,27.51
C0768,2026-01-23,59.0
C0962,2025-03-18,24.75
C0836,2025-04-16,13.59
C0217,2025-05-27,12.14
C0370,2025-10-21,90.15
C0652,2026-01-10,205.53
C0374,2025-10-24,53.66
C0351,2025-11-12,57.92
C0226,2025-02-08,12.24
C0273,2025-07-30,14.99
C0488,2025-12-09,49.94
C0985,2025-05-22,153.3
C0414,2025-08-29,66.35
C0435,2025-07-21,10.64
C0917,2025-05-30,94.63
C0631,2025-03-08,103.71
C0233,2025-02-15,60.54
C0661,2025-06-03,102.26
C0360,2025-09-23,84.91
C0236,2025-09-09,19.77
C0598,2025-06-27,218.9
C0534,2026-01-11,12.21
C0466,2025-10-13,17.06
C0463,2025-11-07,177.81
C0463,2025-04-26,30.96
C0278,2025-07-18,80.98
C0353,2025-07-31,57.33
C0630,2025-02-16,18.22
C0030,2025-11-19,53.04
C0281,2025-06-05,38.44
C0136,2026-01-25,50.83
C0584,2025-06-06,77.68
C0515,2025-05-12,20.78
C0832,2026-01-25,63.58
C0473,2025-02-07,77.81
C0302,2025-09-16,57.72
C0066,2025-05-20,86.58
C0500,2025-04-24,104.21
C0314,2025-03-23,99.39
C0974,2025-02-11,79.22
C0437,2025-02-17,29.8
C0755,2025-09-08,28.24
C0824,2025-08-27,290.44
C0132,2025-05-19,39.77
C0020,2025-02-21,22.24
C0154,2025-11-17,64.39
C0822,2026-01-22,10.16
C0038,2025-10-15,20.0
C0941,2025-02-17,35.74
C0583,2025-02-01,45.68
C0515,2025-09-01,15.5
C0698,2025-03-24,70.69
C0888,2025-10-09,43.33
C0670,2025-04-20,56.08
C0188,2025-03-29,29.44
C0319,2025-08-27,13.02
C0109,2025-04-14,86.83
C0998,2025-05-25,87.7
C0704,2025-02-16,39.01
C0740,2026-01-13,29.89
C0183,2025-06-23,33.21
C0113,2025-10-06,90.81
C0303,2025-12-07,145.24
C0813,2025-07-08,37.34
C0260,2025-06-25,87.01
C0987,2025-08-14,246.23
C0124,2025-04-13,77.35
C0602,2025-12-19,20.2
C0573,2025-06-15,30.36
C0973,2025-05-15,11.22
C0254,2025-05-26,25.95
C0849,2026-01-28,86.3
C0915,2025-03-04,38.08
C0581,2026-01-12,40.97
C0980,2025-03-18,38.56
C0704,2025-10-16,71.21
C0602,2025-10-15,12.56
C0295,2025-06-06,85.75
C0612,2025-12-20,12.95
C0686,2025-12-10,17.04
C0569,2025-02-28,137.95
C0985,2025-03-05,10.67
C0408,2026-01-27,12.28
C0342,2025-09-05,26.13
C0951,2025-09-05,87.35
C0906,2025-12-30,33.2
C0991,2025-05-14,103.15
C0582,2025-03-13,18.5
C0228,2025-07-31,12.38
C0850,2025-10-05,51.28
C0533,2025-08-12,28.93
C0987,2025-02-04,14.52
C0399,2025-07-07,64.5
C0148,2025-06-20,116.91
C0917,2025-07-01,37.13
C0896,2025-06-19,75.62
C0314,2025-02-18,24.82
C0131,2025-04-25,21.04
C0984,2025-11-29,41.17
C0857,2026-01-04,56.89
C0445,2025-07-08,18.2
C0708,2025-12-21,67.56
C0289,2025-04-19,206.91
C0573,2026-01-17,35.87
C0043,2025-07-16,88.44
C0177,2025-02-14,57.45
C0494,2025-08-14,103.84
C0842,2026-01-04,17.6
C0022,2025-05-20,22.17
C0842,2025-05-06,109.02
C0435,2025-06-02,79.17
C0588,2026-01-07,87.32
C0294,2025-03-28,40.74
