customer_id,transaction_date,amount
C0287,2024-12-07,54.42
C0126,2024-06-03,45.0
C0473,2024-09-29,198.83
C0392,2024-10-25,133.41
C0038,2024-06-18,175.74
C0354,2024-11-01,211.8
C0012,2024-11-11,81.61
C0312,2024-02-05,170.09
C0320,2024-09-20,131.06
C0399,2024-05-21,230.73
C0470,2024-05-22,57.09
C0321,2024-10-14,96.34
C0341,2024-02-20,72.66
C0062,2024-07-08,43.76
C0313,2024-02-27,13.1
C0179,2024-06-18,182.94
C0053,2024-04-10,83.87
C0052,2024-02-29,34.31
C0004,2024-04-12,18.92
C0364,2024-12-15,87.79
C0310,2024-11-03,24.24
C0369,2024-05-03,135.38
C0146,2024-05-24,60.89
C0274,2024-04-01,146.27
C0345,2024-08-16,30.37
C0317,2024-10-05,65.92
C0395,2024-05-08,29.03
C0000,2024-08-26,38.8
C0125,2024-04-27,135.38
C0487,2024-08-24,42.84
C0271,2024-07-07,143.9
C0446,2024-03-09,104.6
C0246,2024-03-16,93.48
C0434,2024-03-26,11.45
C0461,2024-08-07,14.71
C0496,2024-04-03,203.42
C0499,2024-07-22,11.73
C0473,2024-12-06,74.15
C0288,2024-09-10,66.89
C0022,2024-09-06,105.67
C0324,2024-04-09,14.64
C0222,2024-09-06,280.96
C0095,2024-09-13,87.52
C0492,2024-01-04,105.67
C0335,2024-09-03,298.69
C0475,2024-06-08,291.73
C0151,2024-06-26,95.18
C0032,2024-06-27,181.84
C0267,2024-11-18,181.72
C0167,2024-11-25,33.15
C0284,2024-01-12,20.62
C0385,2024-09-09,19.92
C0034,2024-08-02,17.38
C0263,2024-04-02,196.35
C0089,2024-04-24,43.11
C0195,2024-11-09,129.32
C0492,2024-03-15,219.94
C0419,2024-08-04,172.7
C0248,2024-06-12,29.53
C0456,2024-07-10,95.78
C0098,2024-02-05,56.52
C0486,2024-04-05,51.67
C0189,2024-08-11,205.48
C0368,2024-07-01,148.98
C0216,2024-12-20,20.88
C0272,2024-03-02,78.63
C0216,2024-12-07,45.33
C0018,2024-06-25,15.5
C0444,2024-08-20,197.83
C0264,2024-10-10,309.7
C0383,2024-02-21,95.2
C0366,2024-05-23,69.5
C0098,2024-01-25,90.68
C0468,2024-02-22,166.82
C0056,2024-02-08,19.56
C0041,2024-07-04,15.93
C0222,2024-05-01,68.26
C0214,2024-08-08,53.22
C0145,2024-08-26,25.43
C0073,2024-09-09,192.31
C0173,2024-05-20,35.18
C0392,2024-10-09,132.5
C0004,2024-01-29,18.87
C0338,2024-05-15,56.88
C0320,2024-12-07,177.56
C0326,2024-08-04,99.62
C0291,2024-03-10,133.16
C0274,2024-12-29,91.74
C0090,2024-07-20,246.82
C0038,2024-05-05,77.85
C0140,2024-08-29,73.24
C0057,2024-05-27,22.65
C0316,2024-12-26,146.34
C0386,2024-12-13,337.47
C0190,2024-11-07,85.16
C0116,2024-05-13,172.0
C0172,2024-06-08,91.19
C0302,2024-05-28,14.44
C0212,2024-07-21,261.47
C0163,2024-08-14,128.88
C0440,2024-02-16,109.26
C0013,2024-05-22,70.61
C0372,2024-02-23,97.78
C0143,2024-01-12,328.7
C0271,2024-12-23,70.82
C0155,2024-01-08,28.59
C0163,2024-03-30,59.15
C0315,2024-06-26,40.92
C0356,2024-02-10,40.1
C0410,2024-05-24,42.82
C0211,2024-08-07,41.6
C0396,2024-02-15,17.93
C0389,2024-03-22,63.89
C0196,2024-10-29,261.55
C0009,2024-11-07,219.28
C0250,2024-12-30,28.01
C0288,2024-03-05,75.46
C0238,2024-06-25,57.28
C0281,2024-03-03,59.92
C0314,2024-10-09,94.18
C0416,2024-04-07,13.75
C0384,2024-11-06,210.04
C0464,2024-07-15,827.24
C0357,2024-09-15,91.07
C0484,2024-02-22,299.62
C0457,2024-03-23,38.42
C0077,2024-01-01,318.02
C0204,2024-09-16,35.96
C0368,2024-10-14,14.8
C0094,2024-03-12,12.24
C0249,2024-06-10,74.67
C0258,2024-11-01,201.18
C0053,2024-08-23,92.31
C0221,2024-09-07,61.66
C0111,2024-09-11,12.92
C0206,2024-08-16,106.84
C0065,2024-03-15,33.95
C0421,2024-07-10,11.47
C0293,2024-11-01,99.14
C0285,2024-11-30,67.53
C0446,2024-11-03,89.28
C0480,2024-11-30,60.51
C0246,2024-04-15,208.31
C0132,2024-10-11,25.91
C0183,2024-11-25,156.5
C0339,2024-03-09,401.37
C0052,2024-07-23,33.46
C0042,2024-08-27,51.79
C0110,2024-09-05,71.64
C0335,2024-04-04,61.13
C0399,2024-01-08,29.85
C0387,2024-07-02,63.05
C0351,2024-07-13,82.41
C0159,2024-03-01,31.36
C0402,2024-10-03,28.5
C0091,2024-06-18,29.48
C0404,2024-11-21,22.86
C0232,2024-01-12,33.11
C0033,2024-03-18,50.06
C0410,2024-03-13,19.68
C0046,2024-04-30,126.41
C0055,2024-12-15,27.08
C0047,2024-03-01,10.26
C0291,2024-09-13,18.83
C0354,2024-09-09,438.72
C0302,2024-05-06,267.76
C0013,2024-01-28,56.03
C0215,2024-12-30,16.44
C0186,2024-11-07,24.29
C0002,2024-04-20,196.07
C0362,2024-08-26,13.09
C0273,2024-10-20,86.06
C0014,2024-07-10,41.37
C0484,2024-01-28,12.03
C0440,2024-09-29,33.76
C0473,2024-05-05,22.76
C0144,2024-01-13,100.04
C0067,2024-03-07,114.65
C0145,2024-04-20,97.75
C0469,2024-02-03,91.59
C0423,2024-08-23,23.65
C0424,2024-04-10,55.11
C0281,2024-11-15,94.58
C0439,2024-11-10,440.62
C0228,2024-10-15,10.76
C0276,2024-07-16,55.47
C0111,2024-01-04,200.26
C0445,2024-11-13,173.92
C0151,2024-11-06,194.71
C0386,2024-08-30,11.84
C0228,2024-02-05,599.82
C0005,2024-11-17,95.8
C0074,2024-01-04,10.53
C0117,2024-04-03,28.74
C0434,2024-03-02,275.04
C0334,2024-07-21,94.77
C0434,2024-06-21,156.75
C0325,2024-04-27,134.12
C0211,2024-08-12,143.27
C0139,2024-02-16,132.84
C0141,2024-11-15,19.13
C0381,2024-05-18,278.85
C0332,2024-09-15,15.32
C0177,2024-01-10,89.54
C0137,2024-06-20,32.53
C0167,2024-05-09,19.2
C0318,2024-04-10,10.27
C0264,2024-02-07,63.08
C0093,2024-04-04,275.26
C0317,2024-08-23,62.51
C0372,2024-05-16,32.94
C0482,2024-02-04,270.98
C0319,2024-02-29,194.41
C0327,2024-09-23,168.61
C0269,2024-11-11,27.87
C0212,2024-06-13,178.51
C0378,2024-03-18,84.04
C0131,2024-03-29,219.72
C0088,2024-10-22,70.14
C0103,2024-01-14,239.93
C0124,2024-12-18,147.68
C0142,2024-06-01,53.91
C0494,2024-11-04,246.95
C0434,2024-02-08,22.43
C0133,2024-03-07,108.81
C0455,2024-02-11,25.0
C0014,2024-04-20,106.78
C0499,2024-08-18,95.13
C0156,2024-02-07,149.6
C0484,2024-10-15,13.41
C0085,2024-11-17,153.74
C0122,2024-11-25,51.87
C0293,2024-06-07,57.61
C0364,2024-08-03,102.62
C0014,2024-06-05,87.62
C0156,2024-02-16,62.59
C0172,2024-05-09,11.23
C0114,2024-08-30,93.36
C0281,2024-10-25,101.39
C0147,2024-01-11,329.6
C0359,2024-02-07,35.79
C0022,2024-10-29,43.96
C0362,2024-08-05,98.24
C0445,2024-07-28,104.53
C0110,2024-04-13,215.67
C0459,2024-12-21,261.02
C0132,2024-10-19,132.84
C0105,2024-04-01,56.91
C0392,2024-02-20,143.35
C0295,2024-10-23,269.79
C0406,2024-09-13,22.02
C0404,2024-12-11,192.57
C0181,2024-11-08,50.37
C0437,2024-02-24,35.8
C0398,2024-05-28,57.69
C0308,2024-05-16,33.01
C0312,2024-04-26,102.56
C0290,2024-03-03,63.53
C0089,2024-03-15,266.34
C0390,2024-07-28,75.55
C0346,2024-01-17,98.45
C0442,2024-12-29,253.9
C0181,2024-05-31,96.19
C0179,2024-07-16,13.45
C0160,2024-06-25,161.64
C0490,2024-05-29,34.86
C0369,2024-02-18,29.61
C0083,2024-12-26,26.09
C0117,2024-12-07,18.92
C0188,2024-12-25,79.75
C0256,2024-08-11,16.94
C0214,2024-07-29,52.98
C0157,2024-10-11,108.08
C0476,2024-10-12,191.13
C0018,2024-01-18,44.82
C0370,2024-06-23,85.0
C0475,2024-04-22,61.21
C0165,2024-11-14,20.87
C0263,2024-02-24,302.09
C0287,2024-09-22,41.57
C0365,2024-06-10,62.55
C0086,2024-02-24,26.98
C0177,2024-12-14,62.42
C0312,2024-09-03,39.29
C0470,2024-09-11,11.99
C0053,2024-09-05,170.9
C0066,2024-02-20,115.77
C0494,2024-09-20,20.47
C0095,2024-03-28,138.11
C0119,2024-10-28,187.33
C0451,2024-06-13,25.21
C0397,2024-08-10,49.15
C0465,2024-01-07,110.3
C0160,2024-05-30,198.47
C0111,2024-02-05,112.98
C0081,2024-01-02,251.49
C0196,2024-01-11,40.03
C0385,2024-07-13,99.23
C0395,2024-01-20,107.86
C0421,2024-09-12,90.31
C0225,2024-02-22,44.88
C0499,2024-12-07,161.3
C0080,2024-07-20,93.42
C0058,2024-08-02,170.87
C0208,2024-04-24,81.84
C0008,2024-02-09,130.01
C0280,2024-12-24,34.59
C0277,2024-08-22,64.77
C0153,2024-01-29,28.84
C0214,2024-10-19,11.86
C0145,2024-05-07,22.53
C0355,2024-02-10,42.03
C0016,2024-06-13,115.39
C0377,2024-03-16,33.12
C0361,2024-12-07,24.72
C0312,2024-10-13,217.06
C0167,2024-04-07,101.76
C0308,2024-06-21,192.08
C0468,2024-07-08,83.17
C0063,2024-05-09,28.19
C0362,2024-07-11,18.64
C0291,2024-10-08,17.07
C0266,2024-10-22,67.48
C0163,2024-04-22,137.85
C0231,2024-08-14,308.2
C0054,2024-04-20,318.1
C0405,2024-03-09,76.12
C0249,2024-02-05,87.62
C0466,2024-08-14,194.22
C0336,2024-12-30,26.8
C0200,2024-06-02,74.29
C0072,2024-07-19,53.32
C0128,2024-08-04,132.05
C0103,2024-02-11,71.56
C0290,2024-05-10,18.1
C0107,2024-06-20,353.27
C0101,2024-12-19,20.88
C0100,2024-02-13,174.73
C0304,2024-01-17,310.05
C0310,2024-10-29,19.07
C0079,2024-08-03,152.04
C0478,2024-05-28,152.31
C0484,2024-07-16,404.13
C0465,2024-03-29,114.03
C0058,2024-12-30,120.84
C0287,2024-09-22,98.74
C0400,2024-10-08,93.92
C0249,2024-09-26,22.84
C0006,2024-05-16,31.39
C0327,2024-11-10,298.72
C0081,2024-08-10,208.08
C0422,2024-04-12,13.77
C0158,2024-05-31,36.14
C0187,2024-10-27,18.01
C0292,2024-06-19,51.53
C0182,2024-12-29,94.96
C0375,2024-01-04,166.41
C0408,2024-07-28,83.43
C0492,2024-04-17,36.52
C0310,2024-08-14,214.1
C0413,2024-09-07,217.71
C0140,2024-09-30,289.8
C0226,2024-02-08,10.95
C0028,2024-11-13,75.37
C0184,2024-09-28,216.89
C0238,2024-09-22,19.62
C0358,2024-12-05,143.78
C0477,2024-06-25,21.71
C0141,2024-06-06,201.61
C0145,2024-10-19,14.3
C0192,2024-03-13,21.59
C0376,2024-12-09,23.29
C0186,2024-10-19,164.34
C0426,2024-07-16,413.59
C0318,2024-10-28,101.83
C0061,2024-11-28,462.68
C0198,2024-02-21,16.72
C0071,2024-05-27,191.91
C0309,2024-08-30,81.89
C0329,2024-04-16,29.42
C0217,2024-08-28,325.29
C0375,2024-09-18,171.33
C0053,2024-02-16,34.38
C0008,2024-04-08,100.95
C0240,2024-03-01,40.14
C0418,2024-06-26,77.57
C0144,2024-08-03,237.73
C0226,2024-09-25,35.34
C0494,2024-03-29,99.88
C0397,2024-12-22,19.59
C0104,2024-11-18,41.88
C0028,2024-05-16,14.54
C0225,2024-11-27,13.61
C0462,2024-02-09,278.22
C0394,2024-08-13,62.5
C0462,2024-02-07,40.08
C0388,2024-06-24,78.49
C0453,2024-02-06,34.87
C0460,2024-10-10,17.92
C0080,2024-04-23,78.35
C0223,2024-11-13,99.75
C0185,2024-11-18,52.74
C0353,2024-02-09,93.41
C0236,2024-10-15,220.89
C0146,2024-12-01,117.43
C0352,2024-02-28,211.96
C0168,2024-09-25,191.41
C0344,2024-06-29,123.99
C0190,2024-06-03,149.72
C0006,2024-05-12,222.75
C0313,2024-09-05,12.97
C0022,2024-06-08,50.81
C0157,2024-02-08,27.53
C0355,2024-09-14,188.46
C0476,2024-01-12,10.64
C0223,2024-01-13,105.95
C0112,2024-08-20,109.92
C0222,2024-12-19,110.51
C0343,2024-12-30,161.34
C0325,2024-03-14,66.61
C0481,2024-11-14,59.78
C0334,2024-08-09,150.12
C0277,2024-07-14,29.09
C0483,2024-08-29,304.31
C0191,2024-01-17,157.4
C0400,2024-07-11,15.97
C0119,2024-07-28,215.21
C0191,2024-06-23,356.98
C0163,2024-09-07,23.94
C0380,2024-01-07,16.79
C0032,2024-05-13,56.5
C0415,2024-02-27,10.1
C0481,2024-08-13,595.15
C0464,2024-04-08,70.04
C0038,2024-09-27,168.38
C0156,2024-03-15,34.94
C0129,2024-06-23,124.1
C0021,2024-01-27,212.54
C0381,2024-08-23,13.18
C0476,2024-01-21,250.27
C0356,2024-03-24,60.68
C0440,2024-09-13,48.68
C0421,2024-01-15,146.98
C0162,2024-11-15,212.59
C0279,2024-01-12,92.73
C0491,2024-07-26,88.36
C0059,2024-05-24,19.56
C0007,2024-03-19,70.46
C0049,2024-07-17,108.41
C0447,2024-06-29,252.86
C0377,2024-02-15,72.01
C0221,2024-07-24,101.21
C0381,2024-08-23,38.44
C0008,2024-06-14,35.56
C0443,2024-11-14,115.42
C0116,2024-12-09,66.78
C0063,2024-07-23,26.2
C0276,2024-09-30,124.09
C0337,2024-04-04,137.97
C0010,2024-10-27,151.49
C0101,2024-09-23,75.49
C0087,2024-02-10,37.71
C0376,2024-02-15,25.37
C0079,2024-11-05,106.27
C0147,2024-06-09,92.02
C0415,2024-08-29,49.52
C0001,2024-08-12,19.2
C0460,2024-03-17,18.18
C0405,2024-04-12,24.24
C0358,2024-03-30,126.95
C0497,2024-05-22,32.33
C0374,2024-10-31,312.72
C0316,2024-05-02,13.21
C0261,2024-03-13,15.34
C0415,2024-02-10,133.46
C0263,2024-11-23,135.21
C0317,2024-03-24,51.47
C0250,2024-01-07,118.12
C0207,2024-11-09,163.17
C0382,2024-01-03,14.16
C0187,2024-12-27,67.73
C0465,2024-01-12,38.38
C0396,2024-01-25,215.4
C0121,2024-05-26,382.41
C0355,2024-06-21,30.1
C0118,2024-11-04,117.5
C0306,2024-10-26,91.05
C0401,2024-07-29,35.94
C0351,2024-11-07,378.06
C0130,2024-07-20,61.63
C0444,2024-04-02,64.2
C0206,2024-12-18,193.54
C0304,2024-12-15,333.86
C0441,2024-01-24,65.42
C0003,2024-08-07,56.37
C0019,2024-05-31,88.37
C0434,2024-04-05,98.69
C0249,2024-04-26,60.34
C0227,2024-03-06,101.06
C0419,2024-09-18,116.42
C0242,2024-07-04,253.46
C0267,2024-05-10,107.54
C0039,2024-01-21,142.09
C0354,2024-10-08,135.82
C0239,2024-03-27,110.11
C0013,2024-11-29,81.87
C0292,2024-11-20,17.16
C0040,2024-11-13,20.25
C0380,2024-04-20,99.87
C0230,2024-03-24,99.88
C0325,2024-05-24,59.61
C0027,2024-03-06,205.18
C0260,2024-06-12,360.06
C0302,2024-10-13,36.93
C0194,2024-04-27,28.6
C0457,2024-04-02,51.1
C0349,2024-12-26,66.37
C0275,2024-09-20,106.01
C0000,2024-11-08,28.28
C0467,2024-10-10,13.74
C0420,2024-06-23,119.01
C0164,2024-10-31,195.9
C0043,2024-11-07,98.03
C0206,2024-04-17,87.63
C0403,2024-11-29,15.88
C0292,2024-01-20,15.31
C0000,2024-04-28,35.45
C0484,2024-09-01,19.27
C0160,2024-06-27,14.25
C0489,2024-10-02,441.48
C0215,2024-09-07,10.5
C0481,2024-08-04,111.92
C0184,2024-02-08,70.65
C0494,2024-06-26,51.95
C0293,2024-12-05,23.44
C0125,2024-10-27,25.5
C0433,2024-08-21,142.01
C0007,2024-12-06,19.86
C0263,2024-06-05,68.65
C0004,2024-03-26,39.48
C0192,2024-11-06,394.58
C0426,2024-04-23,37.99
C0025,2024-05-15,209.96
C0368,2024-03-16,22.0
C0344,2024-10-28,260.93
C0000,2024-05-26,292.81
C0141,2024-02-22,119.95
C0360,2024-03-30,52.86
C0449,2024-07-10,14.94
C0072,2024-06-09,62.24
C0175,2024-09-25,162.5
C0076,2024-06-07,144.11
C0323,2024-04-07,61.78
C0493,2024-05-11,120.14
C0453,2024-03-22,220.28
C0278,2024-12-04,213.18
C0128,2024-12-09,45.22
C0454,2024-03-29,49.81
C0064,2024-03-16,104.12
C0142,2024-11-11,89.52
C0416,2024-10-31,88.9
C0290,2024-04-11,17.6
C0354,2024-04-19,112.88
C0449,2024-09-21,57.77
C0281,2024-11-23,83.21
C0453,2024-04-26,178.08
C0152,2024-01-12,26.13
C0303,2024-10-19,38.25
C0227,2024-09-27,60.15
C0342,2024-11-21,147.39
C0363,2024-01-21,31.79
C0335,2024-10-29,17.39
C0398,2024-10-07,116.33
C0050,2024-09-27,31.96
C0140,2024-10-01,20.69
C0380,2024-02-21,120.9
C0156,2024-08-26,85.98
C0135,2024-05-23,19.39
C0157,2024-05-25,61.07
C0076,2024-05-11,183.26
C0349,2024-09-19,124.29
C0073,2024-02-08,84.48
C0070,2024-11-07,167.7
C0444,2024-10-24,259.8
C0083,2024-09-19,179.15
C0171,2024-06-21,110.28
C0378,2024-05-20,102.03
C0117,2024-10-03,225.59
C0392,2024-01-26,33.83
C0009,2024-04-30,193.17
C0071,2024-05-31,53.61
C0153,2024-12-12,161.65
C0049,2024-05-31,182.94
C0059,2024-06-15,120.13
C0145,2024-06-12,26.22
C0438,2024-08-29,26.6
C0048,2024-04-17,208.63
C0118,2024-05-28,20.06
C0431,2024-10-19,112.71
C0475,2024-06-08,111.6
C0456,2024-03-18,109.97
C0440,2024-09-10,25.29
C0319,2024-10-17,100.89
C0145,2024-11-18,68.47
C0124,2024-06-15,138.92
C0458,2024-10-06,23.74
C0018,2024-03-08,138.86
C0041,2024-10-14,42.04
C0493,2024-02-05,18.96
C0352,2024-06-12,31.3
C0135,2024-12-18,35.7
C0424,2024-07-14,68.41
C0315,2024-05-09,120.75
C0427,2024-01-27,112.21
C0263,2024-08-17,99.85
C0066,2024-10-26,49.21
C0258,2024-12-07,120.71
C0214,2024-06-20,118.42
C0208,2024-10-17,141.17
C0285,2024-04-25,16.2
C0299,2024-02-05,336.14
C0476,2024-10-13,150.58
C0310,2024-07-26,62.67
C0157,2024-04-30,182.49
C0011,2024-05-24,45.79
C0135,2024-01-03,271.97
C0236,2024-10-05,60.97
C0103,2024-04-27,499.07
C0359,2024-09-04,87.64
C0120,2024-10-12,83.6
C0453,2024-08-18,210.02
C0271,2024-02-07,27.35
C0141,2024-10-18,46.12
C0113,2024-08-24,54.65
C0340,2024-09-14,286.4
C0456,2024-11-26,184.46
C0189,2024-06-02,101.78
C0310,2024-09-18,261.82
C0426,2024-05-22,494.83
C0100,2024-08-31,33.38
C0238,2024-02-18,22.37
C0081,2024-10-17,122.18
C0489,2024-06-06,137.81
C0066,2024-12-01,33.82
C0013,2024-03-13,48.94
C0162,2024-03-06,26.7
C0418,2024-07-24,381.36
C0255,2024-09-22,182.87
C0280,2024-09-09,208.06
C0163,2024-04-04,76.76
C0109,2024-12-01,154.74
C0380,2024-01-25,119.75
C0481,2024-01-25,36.47
C0172,2024-01-12,347.62
C0095,2024-04-01,47.37
C0333,2024-01-20,67.89
C0315,2024-06-08,34.34
C0253,2024-05-09,115.04
C0466,2024-10-13,16.33
C0466,2024-09-22,33.79
C0381,2024-09-23,150.35
C0414,2024-02-25,45.29
C0470,2024-03-23,28.71
C0148,2024-11-24,162.65
C0493,2024-09-19,127.82
C0251,2024-04-06,81.22
C0102,2024-02-09,178.18
C0358,2024-11-03,29.09
C0419,2024-05-03,198.4
C0177,2024-03-03,167.07
C0190,2024-03-02,116.15
C0482,2024-01-07,84.55
C0469,2024-01-14,29.47
C0085,2024-05-12,11.11
C0385,2024-03-02,75.65
C0245,2024-08-17,40.09
C0137,2024-11-09,31.03
C0388,2024-03-05,49.08
C0473,2024-08-29,109.24
C0180,2024-12-03,16.68
C0159,2024-06-12,56.43
C0496,2024-07-06,113.87
C0404,2024-11-03,40.93
C0116,2024-10-08,23.6
C0033,2024-02-21,37.9
C0081,2024-08-19,176.43
C0220,2024-02-11,163.72
C0396,2024-04-22,320.86
C0016,2024-04-29,47.89
C0128,2024-05-09,67.55
C0028,2024-04-06,193.8
C0313,2024-08-19,71.89
C0202,2024-09-03,117.69
C0442,2024-08-01,111.24
C0078,2024-12-08,83.07
C0466,2024-03-09,143.73
C0448,2024-03-27,124.01
C0332,2024-07-18,18.86
C0042,2024-04-18,172.01
C0482,2024-05-31,13.62
C0147,2024-10-03,59.04
C0414,2024-08-15,53.03
C0398,2024-07-29,118.28
C0027,2024-02-20,29.13
C0260,2024-09-17,117.97
C0351,2024-01-08,40.79
C0037,2024-04-20,18.57
C0219,2024-12-02,45.02
C0255,2024-12-25,107.99
C0449,2024-02-18,39.49
C0323,2024-03-18,17.18
C0216,2024-04-28,14.29
C0369,2024-09-22,170.3
C0139,2024-12-12,401.05
C0373,2024-09-25,97.33
C0350,2024-10-14,105.84
C0225,2024-01-11,14.47
C0272,2024-07-01,19.98
C0487,2024-11-10,89.87
C0472,2024-04-23,296.6
C0413,2024-07-31,122.7
C0434,2024-06-22,11.28
C0404,2024-05-01,179.25
C0118,2024-02-08,197.41
C0232,2024-01-18,111.08
C0148,2024-05-05,194.52
C0359,2024-08-25,159.81
C0235,2024-08-11,29.53
C0085,2024-05-29,427.79
C0021,2024-12-13,14.41
C0465,2024-09-14,24.13
C0462,2024-10-09,345.61
C0462,2024-03-28,51.91
C0277,2024-06-19,151.96
C0352,2024-07-02,104.66
C0117,2024-01-19,26.44
C0029,2024-10-21,96.08
C0280,2024-05-07,66.88
C0135,2024-12-27,91.65
C0071,2024-05-08,145.37
C0002,2024-04-13,31.56
C0319,2024-12-27,117.17
C0472,2024-01-10,145.61
C0301,2024-08-18,105.45
C0065,2024-04-21,163.15
C0499,2024-03-26,198.42
C0313,2024-02-23,188.78
C0461,2024-01-14,148.45
C0436,2024-01-20,49.59
C0242,2024-08-10,46.47
C0311,2024-07-29,570.87
C0131,2024-04-20,69.53
C0019,2024-01-24,34.49
C0153,2024-10-19,118.78
C0309,2024-12-24,10.32
C0037,2024-09-16,30.01
C0428,2024-01-20,61.47
C0070,2024-01-04,81.36
C0002,2024-08-03,21.0
C0185,2024-02-24,131.38
C0375,2024-09-10,76.67
C0157,2024-03-22,102.17
C0187,2024-02-29,48.88
C0318,2024-07-29,16.03
C0108,2024-03-16,163.66
C0485,2024-04-26,165.41
C0191,2024-01-19,68.02
C0227,2024-12-15,49.78
C0182,2024-05-25,56.43
C0112,2024-09-07,171.63
C0302,2024-11-08,280.48
C0300,2024-06-09,64.69
C0259,2024-05-27,164.02
C0474,2024-07-16,482.47
C0123,2024-03-15,144.7
C0089,2024-11-20,30.39
C0060,2024-05-17,50.72
C0460,2024-04-16,12.45
C0253,2024-04-27,41.89
C0336,2024-12-30,162.59
C0402,2024-02-04,66.15
C0498,2024-03-09,194.47
C0420,2024-02-18,67.12
C0191,2024-09-17,132.42
C0089,2024-09-16,15.11
C0294,2024-05-08,161.51
C0099,2024-11-21,15.9
C0173,2024-11-11,24.08
C0056,2024-01-31,265.91
C0472,2024-02-05,11.35
C0407,2024-12-29,14.56
C0341,2024-08-07,42.26
C0438,2024-08-07,164.71
C0393,2024-12-01,56.4
C0478,2024-04-15,196.3
C0069,2024-02-13,27.01
C0227,2024-07-02,14.76
C0337,2024-09-06,92.55
C0020,2024-07-14,47.86
C0474,2024-01-07,19.04
C0398,2024-06-08,119.0
C0147,2024-05-22,223.82
C0404,2024-06-02,64.26
C0383,2024-05-21,141.24
C0313,2024-01-21,39.64
C0130,2024-03-27,32.08
C0471,2024-10-31,72.35
C0344,2024-12-06,103.78
C0444,2024-06-09,26.4
C0195,2024-11-22,125.12
C0288,2024-03-21,403.82
C0060,2024-12-19,61.75
C0042,2024-06-17,166.88
C0176,2024-01-17,104.91
C0493,2024-07-16,197.68
C0329,2024-12-06,25.19
C0021,2024-04-21,34.35
C0329,2024-04-07,208.04
C0434,2024-05-04,148.34
